PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Nationality,Occupation,TravelPurpose,LuggageCount,HasLifeboatAccess,Name
39,1,2,male,22.8,0,0,TICK920024,48.69,,S,British,Nurse,Leisure,1,0,Mr. Thomas Walker
40,0,3,female,27.2,0,0,TICK239818,9.03,,S,British,Laborer,Leisure,0,1,Mrs. Mary Clark
41,1,3,male,42.2,0,0,TICK23484,12.42,,S,British,Farmer,Migration,5,1,Dr. Thomas Taylor
42,0,3,female,50.3,2,0,TICK977482,6.29,E32,S,British,Servant,Leisure,0,1,Lady. Alice Smith
43,0,2,male,35.4,3,0,TICK59045,32.37,,S,British,Teacher,Leisure,1,0,Dr. John Walker
44,0,3,male,20.3,0,1,TICK28633,12.54,,S,French,Servant,Business,3,0,Rev. William Smith
45,0,3,male,29.5,0,2,TICK812192,7.17,,S,Irish,Laborer,Business,7,0,Dr. James Brown
46,0,3,female,53.5,0,0,TICK820800,11.63,C5,S,British,Laborer,Leisure,1,1,Lady. Sarah Johnson
47,0,3,female,31.3,2,0,TICK851775,10.01,B78,S,American,Farmer,Migration,1,1,Miss. Mary Smith
48,0,3,male,25.5,2,2,TICK206703,12.83,,S,Irish,Servant,Business,0,0,Mr. Thomas Davis
49,1,3,female,26.7,0,0,TICK561134,13.78,,S,Other,Servant,Business,2,1,Lady. Elizabeth Johnson
50,0,3,male,35.4,1,0,TICK638679,5.13,A44,S,American,Farmer,Leisure,0,1,Rev. William Lewis
51,0,1,male,,0,1,TICK903084,387.67,,C,British,Aristocrat,Business,2,1,Rev. John Harris
52,0,3,male,22.5,1,0,TICK398817,15.7,,S,American,Servant,Migration,3,0,Rev. William Wilson
53,0,3,male,43.7,0,0,TICK716067,10.49,,S,British,Laborer,Migration,5,0,Mr. William Davis
54,1,1,male,34.9,2,0,TICK717801,54.88,,C,Irish,Aristocrat,Migration,2,1,Mr. William Walker
55,1,3,male,31.5,0,0,TICK774768,16.32,A56,S,British,Farmer,Migration,1,0,Rev. James Brown
56,0,3,female,44.5,2,0,TICK19973,19.33,A25,S,American,Servant,Migration,3,0,Mrs. Mary Clark
57,0,2,female,19.5,0,0,TICK580334,19.61,E34,S,American,Clerk,Migration,0,1,Mrs. Mary Brown
58,1,3,female,25.1,0,4,TICK506595,9.85,,Q,Irish,Factory Worker,Migration,0,1,Miss. Mary Walker
59,0,2,female,34.4,0,3,TICK55673,17.35,E70,S,French,Nurse,Migration,6,0,Lady. Alice Lewis
60,0,3,female,33.9,0,1,TICK406929,13.65,,S,American,Laborer,Leisure,2,1,Miss. Sarah Wilson
61,1,3,male,8.8,0,0,TICK803875,7.32,,Q,British,Factory Worker,Migration,1,0,Mr. Thomas Brown
62,1,3,female,23.7,1,0,TICK396552,10.34,E61,S,Other,Factory Worker,Business,3,1,Mrs. Margaret Taylor
63,0,3,male,27.6,1,0,TICK730222,15.46,,S,American,Laborer,Migration,0,0,Master. James Lewis
64,1,3,male,36.1,0,1,TICK132320,13.4,,S,American,Farmer,Migration,3,0,Master. John Walker
65,1,3,male,,1,0,TICK451592,10.8,,S,British,Servant,Business,4,0,Mr. James Clark
66,1,2,male,28.9,1,0,TICK736405,26.81,E86,S,British,Engineer,Migration,4,0,Rev. James Taylor
67,0,3,male,1.2,0,0,TICK448567,13.43,,S,American,Servant,Leisure,0,0,Mr. James Harris
68,0,3,female,29.6,0,0,TICK577239,5.09,,S,Irish,Factory Worker,Migration,1,1,Miss. Alice Wilson
69,0,1,female,30.9,1,0,TICK145462,66.9,,C,Irish,Doctor,Business,0,1,Lady. Margaret Taylor
70,0,3,male,66.9,0,0,TICK122197,18.22,A53,S,British,Farmer,Migration,2,0,Mr. William Smith
71,0,3,female,27.1,0,0,TICK460226,6.17,B3,S,American,Factory Worker,Migration,5,1,Lady. Margaret Johnson
72,1,3,male,34.5,0,2,TICK124724,15.6,,S,French,Factory Worker,Migration,4,0,Mr. William Johnson
73,1,3,male,47.1,0,2,TICK941726,18.8,,S,British,Laborer,Migration,1,1,Master. John Taylor
74,0,3,male,41.3,0,4,TICK646559,9.06,,S,British,Farmer,Leisure,2,0,Dr. Thomas Davis
75,1,3,female,51.0,1,2,TICK948442,10.56,E82,C,British,Servant,Migration,3,1,Lady. Alice Walker
76,0,3,male,9.0,1,2,TICK386570,13.53,,S,French,Factory Worker,Migration,7,0,Mr. James Taylor
77,1,2,male,15.1,1,1,TICK369877,45.27,B29,S,American,Clerk,Migration,1,0,Rev. George Johnson
78,0,1,male,21.5,3,0,TICK204052,472.7,,S,American,Doctor,Leisure,5,1,Rev. George Johnson
79,0,2,male,6.7,0,0,TICK360793,39.58,C29,Q,Other,Nurse,Leisure,1,0,Mr. John Taylor
80,0,3,male,31.0,3,0,TICK458729,6.3,A79,S,British,Farmer,Leisure,0,0,Dr. Thomas Clark
81,0,3,male,,0,0,TICK963664,15.04,,S,French,Farmer,Business,0,0,Rev. Thomas Smith
82,0,3,female,53.2,0,0,TICK61736,11.15,E59,Q,Irish,Farmer,Migration,0,1,Miss. Elizabeth Johnson
83,0,2,male,,0,2,TICK250739,28.83,,S,Irish,Nurse,Business,3,0,Dr. John Clark
84,1,3,male,25.2,2,0,TICK244304,5.74,,S,French,Farmer,Business,1,0,Dr. George Johnson
85,0,3,female,42.2,3,0,TICK97459,7.87,,S,British,Farmer,Migration,1,1,Miss. Elizabeth Lewis
86,0,3,male,11.5,3,1,TICK618210,16.86,D72,C,British,Laborer,Leisure,3,0,Dr. William Taylor
87,1,3,female,5.9,0,0,TICK11537,11.81,,Q,British,Servant,Business,2,0,Miss. Sarah Clark
88,0,3,female,32.8,0,0,TICK239158,9.52,,S,Other,Servant,Leisure,5,1,Miss. Sarah Johnson
89,0,3,male,33.9,0,0,TICK434130,10.76,,S,British,Farmer,Leisure,2,0,Rev. George Clark
90,0,2,male,41.7,1,2,TICK784785,44.18,,Q,Irish,Engineer,Business,1,1,Rev. John Clark
91,0,3,male,37.8,0,0,TICK790125,16.23,,S,British,Servant,Leisure,0,1,Mr. James Clark
92,1,3,female,34.5,0,0,TICK932487,9.08,,C,French,Servant,Migration,1,1,Mrs. Margaret Wilson
93,1,3,female,19.8,0,0,TICK847971,6.76,B87,S,American,Servant,Leisure,0,1,Lady. Alice Walker
94,0,3,male,33.5,0,0,TICK832710,8.78,,S,Irish,Factory Worker,Business,3,0,Master. George Johnson
95,0,2,male,34.4,0,0,TICK563264,46.83,,Q,British,Teacher,Migration,0,0,Master. William Smith
96,0,3,male,19.3,0,0,TICK596642,13.72,,Q,Irish,Farmer,Business,5,0,Master. James Brown
97,1,2,male,58.0,0,1,TICK49003,31.34,,C,Irish,Nurse,Migration,2,0,Rev. James Harris
98,0,3,male,37.1,0,0,TICK841713,13.95,C11,S,Other,Servant,Leisure,0,0,Rev. James Wilson
99,1,3,male,15.4,3,0,TICK16622,10.49,B96,C,British,Laborer,Migration,0,0,Mr. James Smith
100,1,3,male,41.8,0,0,TICK916675,17.11,,S,French,Servant,Business,0,0,Dr. John Lewis
101,0,3,male,44.5,4,1,TICK755793,12.85,C38,C,Other,Laborer,Migration,1,0,Dr. William Harris
102,1,3,male,36.2,0,0,TICK263062,6.75,C58,C,French,Factory Worker,Migration,5,0,Mr. John Lewis
103,1,1,male,26.3,0,2,TICK853095,90.66,D4,S,French,Aristocrat,Business,1,1,Dr. John Clark
104,0,1,female,18.7,0,2,TICK60646,282.32,,S,British,Lawyer,Migration,0,1,Miss. Elizabeth Wilson
105,0,3,female,28.8,1,1,TICK81333,19.05,E22,S,American,Laborer,Business,0,0,Miss. Alice Smith
106,1,3,male,35.1,0,0,TICK60406,9.63,,C,French,Farmer,Migration,0,1,Dr. James Walker
107,0,3,male,30.2,0,0,TICK133871,18.04,,S,Irish,Laborer,Migration,7,0,Rev. John Clark
108,0,3,male,51.8,0,0,TICK460859,16.46,,S,British,Laborer,Leisure,0,0,Mr. John Johnson
109,0,3,male,39.4,4,2,TICK190365,8.72,,S,American,Servant,Business,0,0,Rev. George Walker
110,1,3,female,17.1,0,0,TICK297323,5.55,,S,British,Laborer,Business,4,1,Miss. Alice Wilson
111,1,2,male,,0,0,TICK46843,14.07,,C,American,Engineer,Migration,5,0,Dr. James Wilson
112,0,3,male,,0,0,TICK330384,15.93,,S,British,Factory Worker,Business,5,0,Rev. George Davis
113,0,1,male,26.6,0,1,TICK367652,123.84,B49,S,British,Aristocrat,Leisure,3,1,Master. Thomas Lewis
114,0,3,female,,0,0,TICK632678,10.57,E16,C,British,Servant,Migration,1,0,Miss. Elizabeth Brown
115,1,3,female,,0,0,TICK688036,12.53,,Q,British,Farmer,Migration,2,1,Miss. Elizabeth Walker
116,1,3,male,28.9,5,2,TICK934677,15.88,B28,S,British,Factory Worker,Migration,7,0,Dr. James Lewis
117,0,3,female,17.3,0,2,TICK257108,6.7,A74,S,American,Farmer,Leisure,0,1,Miss. Elizabeth Smith
118,1,3,male,7.3,0,1,TICK307616,11.1,C23,S,British,Farmer,Leisure,0,0,Mr. Thomas Walker
119,0,3,male,,0,0,TICK137017,12.28,,Q,British,Servant,Leisure,4,0,Dr. Thomas Clark
120,0,3,male,11.3,1,0,TICK636566,13.11,,C,British,Farmer,Leisure,0,0,Dr. John Clark
121,1,1,female,16.7,1,0,TICK418143,414.63,D46,S,British,Aristocrat,Migration,5,0,Miss. Sarah Clark
122,0,3,male,,0,1,TICK502954,7.58,,C,British,Factory Worker,Migration,1,0,Master. John Clark
123,1,1,male,30.9,0,1,TICK690525,409.68,,S,French,Doctor,Business,0,0,Master. William Lewis
124,0,3,male,12.9,0,0,TICK129320,15.39,,S,Other,Laborer,Leisure,5,0,Rev. George Lewis
125,0,2,male,46.2,0,0,TICK689484,32.23,,C,French,Nurse,Migration,1,0,Mr. George Walker
126,0,3,male,45.8,0,0,TICK81534,15.49,,S,American,Farmer,Migration,2,1,Rev. George Harris
127,0,1,male,37.7,1,2,TICK81088,223.65,,S,American,Merchant,Migration,0,1,Dr. John Harris
128,1,3,female,,0,1,TICK263352,7.08,,S,Other,Factory Worker,Migration,0,1,Lady. Sarah Taylor
129,1,3,female,37.7,4,0,TICK984952,14.99,D29,S,Other,Factory Worker,Business,0,0,Lady. Elizabeth Clark
130,1,3,female,87.8,0,0,TICK571054,12.87,D64,C,American,Factory Worker,Migration,1,1,Miss. Alice Taylor
131,0,3,female,44.3,0,0,TICK216860,14.59,,S,British,Laborer,Business,2,1,Miss. Elizabeth Walker
132,0,1,female,39.8,0,0,TICK519970,188.86,D21,C,French,Doctor,Migration,0,1,Lady. Mary Harris
133,1,1,male,18.4,2,1,TICK740513,456.23,,Q,Other,Merchant,Migration,5,1,Mr. George Smith
134,1,1,female,26.4,0,2,TICK771932,306.06,,Q,British,Aristocrat,Migration,0,1,Mrs. Mary Davis
135,0,2,female,64.7,0,1,TICK853937,13.42,E43,S,American,Clerk,Migration,0,1,Mrs. Sarah Lewis
136,0,3,male,2.0,2,0,TICK375297,11.75,D84,S,Other,Farmer,Migration,0,0,Rev. William Brown
137,0,3,female,22.9,0,0,TICK942243,16.35,B88,S,French,Laborer,Leisure,1,1,Lady. Alice Smith
138,1,2,female,46.3,1,2,TICK960552,41.77,,S,British,Clerk,Leisure,7,1,Lady. Margaret Brown
139,1,3,female,19.3,0,3,TICK901475,12.42,E84,S,American,Factory Worker,Migration,2,1,Mrs. Elizabeth Brown
140,0,3,male,40.2,5,0,TICK231987,18.42,,S,American,Factory Worker,Migration,2,0,Master. John Taylor
141,0,3,male,30.7,0,0,TICK466087,9.02,D25,S,Irish,Laborer,Business,0,1,Master. Thomas Taylor
142,0,3,male,20.2,0,0,TICK748775,11.16,A80,S,American,Factory Worker,Migration,8,0,Master. James Wilson
143,0,3,male,-0.4,0,0,TICK318423,18.48,,S,British,Servant,Business,0,1,Rev. George Smith
144,1,2,male,32.8,1,1,TICK988157,45.85,,Q,British,Engineer,Migration,3,0,Mr. Thomas Clark
145,0,3,male,18.1,0,3,TICK385757,15.29,E11,S,British,Factory Worker,Migration,0,1,Dr. John Taylor
146,0,3,male,,0,0,TICK819107,17.88,,S,British,Servant,Leisure,5,1,Rev. James Walker
147,0,3,female,37.6,0,0,TICK579190,6.33,,S,French,Farmer,Leisure,0,1,Lady. Elizabeth Brown
148,1,3,female,43.0,0,0,TICK307900,17.97,C79,S,British,Servant,Migration,2,1,Miss. Sarah Harris
149,0,3,male,22.9,0,1,TICK912182,9.81,,Q,Irish,Servant,Business,5,0,Rev. William Davis
150,0,1,male,20.2,3,0,TICK686395,113.82,E81,S,French,Doctor,Migration,1,1,Dr. William Johnson
151,1,3,female,,4,0,TICK257068,8.59,,S,British,Servant,Migration,5,1,Lady. Elizabeth Davis
152,1,3,male,43.8,0,0,TICK553436,11.27,,S,Other,Factory Worker,Migration,4,0,Rev. John Smith
153,0,1,male,61.8,4,0,TICK937355,148.06,A96,Q,Other,Aristocrat,Migration,6,1,Rev. James Wilson
154,0,1,female,45.5,0,0,TICK281531,180.67,,C,Other,Merchant,Business,4,1,Lady. Margaret Lewis
155,0,2,male,49.0,0,0,TICK335347,15.4,,S,Irish,Clerk,Migration,0,0,Dr. George Lewis
156,0,3,male,19.4,5,0,TICK732666,9.44,E25,C,British,Laborer,Migration,6,0,Dr. John Taylor
157,0,3,female,36.7,0,2,TICK568719,13.58,,S,French,Servant,Leisure,1,1,Mrs. Sarah Walker
158,0,3,female,41.6,2,1,TICK528900,11.63,,S,Irish,Factory Worker,Leisure,4,0,Mrs. Elizabeth Wilson
159,0,3,male,-18.6,1,0,TICK110448,10.2,,S,American,Servant,Business,5,0,Dr. James Davis
160,0,3,female,14.6,0,0,TICK57620,16.2,D92,Q,American,Farmer,Migration,3,1,Mrs. Mary Lewis
161,0,1,male,54.5,1,0,TICK364473,449.95,B42,C,Irish,Lawyer,Migration,7,1,Dr. George Taylor
162,1,3,male,8.5,0,0,TICK945164,16.35,B38,S,Irish,Factory Worker,Migration,0,0,Rev. William Wilson
163,0,1,female,51.6,0,0,TICK431790,186.04,,S,American,Doctor,Business,0,0,Miss. Mary Davis
164,1,2,male,8.5,1,1,TICK740772,39.78,B74,S,British,Engineer,Leisure,0,0,Rev. George Lewis
165,1,3,female,15.3,1,1,TICK997738,7.28,,S,British,Laborer,Migration,5,1,Lady. Alice Lewis
166,0,3,female,36.9,0,0,TICK653079,6.95,,Q,Other,Servant,Leisure,0,1,Lady. Mary Clark
167,0,3,female,,0,0,TICK510825,10.18,,S,Other,Farmer,Migration,6,1,Lady. Mary Brown
168,1,1,male,24.2,1,5,TICK294374,409.62,B23,S,French,Doctor,Business,1,1,Master. William Walker
169,0,1,male,53.8,0,0,TICK83256,145.78,D65,S,American,Merchant,Leisure,0,0,Master. William Johnson
170,0,3,female,11.4,0,5,TICK214442,5.95,,S,French,Servant,Business,0,1,Mrs. Mary Harris
171,1,3,female,,0,1,TICK957352,6.98,,S,Other,Servant,Leisure,4,0,Mrs. Margaret Walker
172,0,3,male,,1,0,TICK144792,17.88,B60,Q,Other,Factory Worker,Business,0,0,Rev. William Clark
173,0,1,male,34.2,0,1,TICK883298,327.88,,S,American,Merchant,Migration,0,1,Master. George Lewis
174,1,3,male,20.7,0,0,TICK547302,8.8,A88,S,Irish,Farmer,Migration,1,0,Rev. Thomas Brown
175,1,3,male,21.2,0,1,TICK242734,13.33,,S,Irish,Servant,Migration,8,0,Rev. John Taylor
176,0,3,male,42.7,1,0,TICK320751,12.91,,S,Other,Farmer,Migration,6,0,Dr. James Brown
177,0,3,male,43.5,0,4,TICK778947,14.83,,S,Other,Laborer,Leisure,0,0,Dr. William Clark
178,0,3,female,34.6,0,0,TICK580826,8.5,,S,Irish,Servant,Migration,0,1,Lady. Alice Johnson
179,0,3,female,17.6,0,1,TICK222007,17.97,E16,S,British,Laborer,Business,2,1,Lady. Alice Walker
180,0,3,female,21.6,0,0,TICK129710,9.64,,Q,British,Factory Worker,Migration,3,1,Miss. Mary Wilson
181,1,1,male,29.7,1,1,TICK391479,356.24,E92,S,Irish,Merchant,Business,4,1,Rev. William Smith
182,1,2,female,31.8,4,1,TICK761124,10.64,,S,American,Teacher,Leisure,1,1,Mrs. Sarah Brown
183,1,2,male,38.2,0,1,TICK857036,24.91,,C,Irish,Nurse,Business,0,0,Mr. John Harris
184,0,3,male,27.0,1,0,TICK827215,10.28,,S,British,Factory Worker,Migration,5,0,Mr. John Davis
185,0,3,male,42.4,0,2,TICK149857,13.15,,S,American,Servant,Business,2,0,Mr. Thomas Brown
186,0,3,male,,1,0,TICK38609,6.09,A47,S,Other,Farmer,Migration,2,0,Rev. James Wilson
187,1,3,male,49.6,0,0,TICK247525,16.85,,S,American,Laborer,Leisure,9,0,Mr. John Brown
188,0,3,female,30.3,0,0,TICK733264,8.27,,Q,American,Servant,Migration,1,1,Mrs. Mary Brown
189,0,1,female,,1,4,TICK462664,348.21,,S,American,Lawyer,Business,3,1,Mrs. Margaret Harris
190,0,3,female,28.0,1,0,TICK682478,17.05,,S,American,Factory Worker,Leisure,0,1,Miss. Margaret Davis
191,0,3,male,17.7,1,1,TICK802313,13.43,,S,British,Farmer,Leisure,2,1,Mr. James Clark
192,0,3,female,61.4,0,5,TICK476804,16.11,E97,Q,British,Servant,Migration,0,1,Lady. Sarah Harris
193,0,3,female,47.4,1,0,TICK120787,14.93,,S,Irish,Laborer,Migration,3,1,Mrs. Mary Johnson
194,1,1,male,41.9,0,0,TICK23323,197.1,,S,British,Lawyer,Migration,10,0,Dr. George Clark
195,0,3,male,29.8,0,0,TICK524142,17.13,,S,British,Laborer,Leisure,1,0,Master. James Harris
196,1,3,male,16.5,0,5,TICK877950,9.42,C19,S,American,Laborer,Leisure,2,0,Mr. James Johnson
197,0,3,male,44.6,2,1,TICK36395,13.57,,Q,American,Laborer,Business,0,0,Master. Thomas Clark
198,0,3,female,27.8,0,0,TICK284428,16.18,,C,British,Factory Worker,Business,6,1,Miss. Margaret Wilson
199,1,3,male,36.2,4,0,TICK292469,10.68,,C,Irish,Factory Worker,Migration,0,1,Master. William Smith
200,1,3,male,21.5,0,0,TICK617814,9.54,,S,Irish,Laborer,Migration,1,0,Rev. George Smith
201,1,3,male,33.7,0,0,TICK403838,11.89,,S,British,Laborer,Leisure,1,0,Dr. Thomas Wilson
202,1,1,male,22.4,3,0,TICK316005,414.44,,C,British,Aristocrat,Leisure,0,1,Master. John Taylor
203,1,2,female,22.9,0,2,TICK868359,47.2,C44,C,American,Teacher,Business,8,1,Lady. Sarah Davis
204,0,3,male,,0,0,TICK89597,13.18,,Q,British,Factory Worker,Migration,2,0,Rev. William Brown
205,0,3,female,8.3,0,0,TICK63621,14.92,D43,Q,French,Servant,Leisure,1,1,Lady. Elizabeth Lewis
206,0,3,female,,0,1,TICK293649,18.55,,S,British,Farmer,Leisure,0,1,Miss. Mary Lewis
207,0,3,male,19.2,0,0,TICK897086,6.48,,S,British,Factory Worker,Migration,1,0,Rev. John Smith
208,0,3,female,26.8,0,1,TICK640366,8.48,,S,Irish,Factory Worker,Business,1,1,Miss. Alice Davis
209,0,3,male,42.9,2,1,TICK403586,15.63,,C,French,Laborer,Migration,1,1,Master. William Taylor
210,1,3,male,27.6,0,1,TICK520419,17.36,B19,C,American,Factory Worker,Migration,1,0,Rev. John Harris
211,0,1,male,29.7,1,0,TICK20764,432.8,,S,Irish,Merchant,Leisure,0,1,Dr. James Lewis
212,1,3,male,25.7,0,0,TICK905682,11.23,,S,American,Laborer,Business,5,0,Mr. George Walker
213,0,3,male,34.8,0,0,TICK402172,6.34,,S,American,Servant,Leisure,2,1,Mr. James Johnson
214,0,3,male,17.6,1,0,TICK404348,11.57,C92,S,Other,Farmer,Leisure,1,1,Mr. Thomas Johnson
215,1,1,male,28.4,0,0,TICK466588,138.45,,S,British,Aristocrat,Migration,8,1,Rev. Thomas Harris
216,1,2,male,36.0,0,0,TICK47573,21.65,B73,C,French,Clerk,Leisure,2,1,Rev. John Brown
217,0,3,male,33.4,1,0,TICK236351,16.58,,S,British,Factory Worker,Migration,0,0,Master. John Davis
218,1,3,male,30.2,1,1,TICK216723,6.13,,S,Other,Servant,Migration,4,0,Master. John Smith
219,0,3,male,30.4,1,1,TICK398753,17.41,,S,French,Laborer,Leisure,2,0,Master. James Lewis
220,0,3,male,37.5,0,0,TICK194385,11.42,,Q,Irish,Farmer,Leisure,0,1,Master. William Taylor
221,1,1,male,62.3,0,1,TICK692982,310.15,,C,French,Aristocrat,Business,3,1,Master. George Walker
222,0,1,female,,2,0,TICK453025,72.14,,Q,British,Merchant,Migration,2,1,Mrs. Sarah Wilson
223,0,3,male,62.8,0,0,TICK559358,10.06,B4,S,British,Factory Worker,Leisure,2,0,Master. Thomas Harris
224,1,3,female,17.9,0,4,TICK55798,6.35,B75,Q,British,Laborer,Migration,1,1,Miss. Elizabeth Lewis
225,0,2,male,-1.9,0,0,TICK693482,48.46,C19,C,French,Engineer,Leisure,0,0,Mr. Thomas Davis
226,0,1,male,22.1,4,3,TICK320970,409.41,,Q,British,Merchant,Migration,4,1,Dr. John Davis
227,0,2,male,35.1,1,0,TICK33826,28.39,,S,Irish,Nurse,Migration,10,0,Mr. William Clark
228,1,3,male,58.1,0,1,TICK568855,8.35,,S,Irish,Farmer,Migration,4,0,Rev. James Johnson
229,0,3,male,,4,2,TICK801059,19.0,E52,S,American,Farmer,Migration,5,1,Master. George Smith
230,1,3,male,37.4,0,0,TICK365699,10.17,D80,S,British,Farmer,Migration,0,0,Dr. James Harris
231,0,1,male,,0,3,TICK983750,105.66,,S,British,Aristocrat,Leisure,0,0,Mr. William Wilson
232,0,3,male,57.5,0,0,TICK28254,13.45,,Q,Irish,Farmer,Business,0,0,Dr. George Lewis
233,0,1,male,,2,0,TICK955260,473.57,,C,French,Merchant,Migration,3,1,Master. George Walker
234,1,3,male,23.0,0,4,TICK639309,5.06,,S,British,Farmer,Leisure,0,1,Master. William Clark
235,0,3,male,,1,0,TICK792127,8.57,,S,British,Factory Worker,Business,7,1,Dr. John Walker
236,0,3,female,50.3,0,0,TICK937555,19.08,,S,Irish,Laborer,Leisure,5,1,Lady. Elizabeth Lewis
237,1,2,male,28.3,2,3,TICK353550,16.84,D23,C,French,Teacher,Business,2,0,Mr. James Brown
238,0,3,female,48.6,0,0,TICK968519,6.7,,S,American,Laborer,Leisure,0,1,Lady. Alice Walker
239,0,1,male,30.1,0,0,TICK869386,297.99,,S,British,Doctor,Migration,4,1,Rev. George Taylor
240,0,3,male,,0,0,TICK952529,17.93,A44,C,British,Farmer,Business,6,0,Rev. William Harris
241,0,3,female,23.2,0,0,TICK276285,12.16,,S,British,Laborer,Business,4,1,Miss. Elizabeth Wilson
242,0,3,female,39.3,0,0,TICK850602,19.92,,S,Other,Farmer,Migration,7,1,Lady. Elizabeth Wilson
243,0,3,male,31.8,1,0,TICK790911,15.19,,S,American,Factory Worker,Business,5,0,Dr. Thomas Wilson
244,1,2,female,37.7,0,3,TICK620665,12.96,,C,Irish,Teacher,Business,0,1,Miss. Alice Lewis
245,0,3,female,7.0,1,0,TICK228062,19.89,,C,French,Farmer,Migration,0,1,Mrs. Alice Walker
246,1,1,male,49.2,0,0,TICK795036,221.71,B46,S,French,Doctor,Leisure,0,1,Dr. John Harris
